,Country,Country Group,OPEC Member,Year, Crude oil production,Oil demand,Crude oil exports,Imports of crude oil,GDP,Oil Price
68,Turkey,,No,1987,,441.0,,408.90943,87172789528.3316,18.53
69,Turkmenistan,,No,1987,,,,,2331358819.75954,18.53
70,Ukraine,,No,1987,,1330.157671232878,,,64087694038.2333,18.53
71,Trinidad & Tobago,,No,1987,,,77.71701,7.981808219178083,,18.53
72,Eqautorial Guinea,,No,1987,,,,0.0,,18.53
73,Greece,,No,1987,,,,306.4910410958904,65652751132.3603,18.53
74,Morocco,,No,1987,,,,100.632329,21765261041.7265,18.53
75,Sweden,,No,1987,,,,309.1563561643836,180429286795.786,18.53
76,Arab World,,No,1987,,,,,312681678329.933,18.53
77,Caribbean small states,,No,1987,,,,,15475346111.2724,18.53
78,Early-demographic dividend,,No,1987,,,,,1436813007738.15,18.53
79,East Asia & Pacific,,No,1987,,,,,3603282407781.65,18.53
80,East Asia & Pacific (excluding high income),,No,1987,,,,,520956352850.569,18.53
81,East Asia & Pacific (IDA & IBRD countries),,No,1987,,,,,519899227597.668,18.53
82,Euro area,,No,1987,,,,,4153049181612.28,18.53
83,Europe & Central Asia,,No,1987,,,,,6350049382135.22,18.53
84,European Union,,No,1987,,,,,5366348328002.87,18.53
85,Heavily indebted poor countries (HIPC),,No,1987,,,,,129279648797.364,18.53
86,High income,,No,1987,,,,,14248999154625.7,18.53
87,IBRD only,,No,1987,,,,,2620900784641.03,18.53
88,IDA & IBRD total,,No,1987,,,,,2898815751592.97,18.53
89,IDA blend,,No,1987,,,,,107028115535.764,18.53
90,IDA only,,No,1987,,,,,176101376349.727,18.53
91,IDA total,,No,1987,,,,,282047953084.372,18.53
92,Late-demographic dividend,,No,1987,,,,,1527791941343.19,18.53
93,Latin America & Caribbean,,No,1987,,,,,803851944552.642,18.53
94,Latin America & Caribbean (excluding high income),,No,1987,,,,,737306149636.792,18.53
95,Latin America & the Caribbean (IDA & IBRD countries),,No,1987,,,,,746968952126.707,18.53
96,Least developed countries: UN classification,,No,1987,,,,,143177200301.141,18.53
97,Low & middle income,,No,1987,,,,,2844095463825.6,18.53
98,Low income,,No,1987,,,,,84283995064.5725,18.53
99,Lower middle income,,No,1987,,,,,809719315471.034,18.53
100,Middle East & North Africa,,No,1987,,,,,411135918932.23,18.53
101,Middle income,,No,1987,,,,,2764805339370.34,18.53
102,North America,,No,1987,,,,,5302830242049.45,18.53
103,OECD members,,No,1987,,,,,14059024255587.2,18.53
104,Other small states,,No,1987,,,,,38579939947.3423,18.53
105,Pacific island small states,,No,1987,,,,,2033588818.81467,18.53
106,Post-demographic dividend,,No,1987,,,,,13893300505029.3,18.53
107,Pre-demographic dividend,,No,1987,,,,,98640481086.672,18.53
108,Small states,,No,1987,,,,,56064140276.8344,18.53
109,South Asia,,No,1987,,,,,344338564247.538,18.53
110,South Asia (IDA & IBRD),,No,1987,,,,,344338564247.538,18.53
111,Sub-Saharan Africa,,No,1987,,,,,280930550942.236,18.53
112,Sub-Saharan Africa (excluding high income),,No,1987,,,,,280681131373.112,18.53
113,Sub-Saharan Africa (IDA & IBRD countries),,No,1987,,,,,280930550942.236,18.53
114,Upper middle income,,No,1987,,,,,1947815210541.88,18.53
115,World,,No,1987,,,,,17091694967928.9,18.53
116,Albania,,No,1987,,,,,2156624900.0,18.53
117,Andorra,,No,1987,,,,,611316399.407088,18.53
118,Antigua and Barbuda,,No,1987,,,,,337174851.851852,18.53
119,Austria,,No,1987,,,,,124168442860.253,18.53
120,"Bahamas, The",,No,1987,,,,,2713999900.0,18.53
121,Bangladesh,,No,1987,,,,,24298032258.0645,18.53
122,Belize,,No,1987,,,,,276550000.0,18.53
123,Benin,,No,1987,,,,,1562412030.34838,18.53
124,Bermuda,,No,1987,,,,,1296499968.0,18.53
125,Bhutan,,No,1987,,,,,253182453.703704,18.53
126,Bolivia,,No,1987,,,,,4347956298.51327,18.53
127,Botswana,,No,1987,,,,,1965274882.36345,18.53
128,Brunei Darussalam,,No,1987,,,,,2754463437.79677,18.53
129,Burkina Faso,,No,1987,,,,,2369835438.62393,18.53
130,Burundi,,No,1987,,,,,1131466494.01101,18.53
131,Cabo Verde,,No,1987,,,,,235253171.841062,18.53
132,Central African Republic,,No,1987,,,,,1200991825.95398,18.53
133,Comoros,,No,1987,,,,,196433684.042405,18.53
134,"Congo, Dem. Rep.",,No,1987,,,,,7661625472.51189,18.53
135,"Congo, Rep.",,No,1987,,,,,2297753649.2798,18.53
136,Costa Rica,,No,1987,,,,,5841132961.60586,18.53
137,Cote d'Ivoire,,No,1987,,,,,10087653189.3287,18.53
138,Cuba,,No,1987,,,,,25213935012.0819,18.53
139,Cyprus,,No,1987,,,,,3704813885.50548,18.53
140,Djibouti,,No,1987,,,,,373371738.286415,18.53
141,Dominica,,No,1987,,,,,126348148.148148,18.53
142,Dominican Republic,,No,1987,,,,,5826987203.49563,18.53
143,"Egypt, Arab Rep.",,No,1987,,,,,40507934171.249,18.53
144,El Salvador,,No,1987,,,,,3958045800.0,18.53
145,Ethiopia,,No,1987,,,,,10527338647.343,18.53
146,Fiji,,No,1987,,,,,1177908191.97685,18.53
147,Finland,,No,1987,,,,,91642093872.5822,18.53
148,French Polynesia,,No,1987,,,,,2543199148.3893,18.53
149,"Gambia, The",,No,1987,,,,,220626484.224811,18.53
150,Greenland,,No,1987,,,,,787392365.831908,18.53
151,Grenada,,No,1987,,,,,215009555.555556,18.53
152,Guatemala,,No,1987,,,,,7084399840.0,18.53
153,Guinea,,No,1987,,,,,2041538057.02893,18.53
154,Guinea-Bissau,,No,1987,,,,,173836362.010107,18.53
155,Honduras,,No,1987,,,,,4152499950.0,18.53
156,"Hong Kong SAR, China",,No,1987,,,,,50622571586.1149,18.53
157,Iceland,,No,1987,,,,,5565384032.45323,18.53
158,"Iran, Islamic Rep.",,No,1987,,,,,134009995922.987,18.53
159,Ireland,,No,1987,,,,,33961141502.809,18.53
160,Israel,,No,1987,,,,,40946424369.7479,18.53
161,Jamaica,,No,1987,,,,,3286987551.71597,18.53
162,Jordan,,No,1987,,,,,6755599113.73707,18.53
163,Kenya,,No,1987,,,,,7970820530.76691,18.53
164,Kiribati,,No,1987,,,,,33608738.2719507,18.53
165,"Korea, Rep.",,No,1987,,,,,146133338196.141,18.53
166,Lao PDR,,No,1987,,,,,1087273103.69639,18.53
167,Lesotho,,No,1987,,,,,402774852.652259,18.53
168,Liberia,,No,1987,,,,,972800000.0,18.53
169,Liechtenstein,,No,1987,,,,,1052843347.63948,18.53
170,Luxembourg,,No,1987,,,,,8614215559.15721,18.53
171,"Macao SAR, China",,No,1987,,,,,1941246972.45874,18.53
172,Madagascar,,No,1987,,,,,2565634382.28729,18.53
173,Malawi,,No,1987,,,,,1183071363.00406,18.53
174,Maldives,,No,1987,,,,,141268980.477223,18.53
175,Mali,,No,1987,,,,,2090629722.63611,18.53
176,Malta,,No,1987,,,,,1751247763.41948,18.53
177,Marshall Islands,,No,1987,,,,,62983000.0,18.53
178,Mauritania,,No,1987,,,,,909820553.400741,18.53
179,Mauritius,,No,1987,,,,,1888754655.15367,18.53
180,"Micronesia, Fed. Sts.",,No,1987,,,,,116700000.0,18.53
181,Monaco,,No,1987,,,,,1839095595.25655,18.53
182,Mongolia,,No,1987,,,,,3020611600.0,18.53
183,Mozambique,,No,1987,,,,,2354117303.06158,18.53
184,Namibia,,No,1987,,,,,2310454960.70727,18.53
185,Nepal,,No,1987,,,,,2957255379.54315,18.53
186,New Caledonia,,No,1987,,,,,1488113532.28584,18.53
187,Niger,,No,1987,,,,,2233006101.94476,18.53
188,Panama,,No,1987,,,,,6827665300.0,18.53
189,Papua New Guinea,,No,1987,,,,,3143848331.31402,18.53
190,Paraguay,,No,1987,,,,,3778316380.23952,18.53
191,Peru,,No,1987,,,,,20702298396.9717,18.53
192,Portugal,,No,1987,,,,,48187667852.5687,18.53
193,Puerto Rico,,No,1987,,,,,23878000000.0,18.53
194,Rwanda,,No,1987,,,,,2157434025.16467,18.53
195,Samoa,,No,1987,,,,,111713922.141578,18.53
196,Senegal,,No,1987,,,,,5040708115.08482,18.53
197,Seychelles,,No,1987,,,,,249267039.781191,18.53
198,Sierra Leone,,No,1987,,,,,701307602.28443,18.53
199,Solomon Islands,,No,1987,,,,,238606299.605651,18.53
200,Sri Lanka,,No,1987,,,,,6682167119.56522,18.53
201,St. Kitts and Nevis,,No,1987,,,,,140705629.62963,18.53
202,St. Lucia,,No,1987,,,,,319999000.0,18.53
203,St. Vincent and the Grenadines,,No,1987,,,,,175580629.62963,18.53
204,Sudan,,No,1987,,,,,20155555555.5556,18.53
205,Suriname,,No,1987,,,,,979850000.0,18.53
206,Swaziland,,No,1987,,,,,584135559.921414,18.53
207,Switzerland,,No,1987,,,,,193466104144.313,18.53
208,Syrian Arab Republic,,No,1987,,,,,11356215712.9326,18.53
209,Togo,,No,1987,,,,,1249099130.02277,18.53
210,Tonga,,No,1987,,,,,81667133.4546982,18.53
211,Trinidad and Tobago,,No,1987,,,,,4797777777.77778,18.53
212,Uganda,,No,1987,,,,,6269511614.66235,18.53
213,Uruguay,,No,1987,,,,,7367494080.40014,18.53
214,Vanuatu,,No,1987,,,,,130834145.053665,18.53
215,"Venezuela, RB",,No,1987,,,,,45343793103.4483,18.53
216,Virgin Islands (U.S.),,No,1987,,,,,1147800064.0,18.53
217,Zambia,,No,1987,,,,,2269894736.84211,18.53
218,Zimbabwe,,No,1987,,,,,6741215100.0,18.53
219,Algeria,Africa ,Yes,1988,672.91,176.67342465753424,244.0,8.98454794520548,59089067187.3943,14.91
220,Angola,Africa ,Yes,1988,452.13,33.81673104864278,353.9,0.0,6684491978.60963,14.91
221,Argentina,Latin America,No,1988,445.301,460.0,,,126206817196.091,14.91
222,Australia,OECD Asia Pacific,No,1988,460.548,694.0,101.82,112.83167123287672,236135768335.274,14.91
223,Azerbaijan,Other Eurasia,No,1988,256.284,,,,,14.91
224,Bahrain,Middle East ,No,1988,43.005,,0.0,199.14,3702393617.02128,14.91
225,Brazil,Latin America,No,1988,554.785,1363.0,3.7502465753424654,640.437411,330397381998.489,14.91
226,Brunei,Other Asia,No,1988,141.476,,141.301,,,14.91
227,Cameroon,Africa ,No,1988,172.525,,,,12493286761.7341,14.91
228,Canada,OECD Americas,No,1988,1280.02,1681.0,607.0053150684931,448.47964383561646,507354351182.254,14.91
229,Chad,Africa ,No,1988,0.0,,,,1482597298.88729,14.91
230,Chile,OECD Americas,No,1988,24.913,117.0,,81.27732,26040229793.0697,14.91
231,China,China,No,1988,2720.333,2246.0,549.89626,17.1468493,312353631207.819,14.91
232,Colombia,Latin America,No,1988,374.796,193.0,144.429,,39212550050.4223,14.91
233,Congo,Africa ,Yes,1988,137.0,1.98860717857334,134.999,0.0,,14.91
234,Denmark,OECD Europe,No,1988,96.042,,,,115552848547.872,14.91
235,Ecuador,Latin America,No,1988,301.971,89.82287671232876,188.51,0.0,13051886552.3377,14.91
236,Egypt,Africa ,No,1988,844.0649999999999,442.0,425.073,0.0,,14.91
237,Equatorial Guinea,Africa ,Yes,1988,0.0,0.5,0.0,,100534663.294927,14.91
238,Gabon,Africa ,Yes,1988,157.027,12.19593404733649,148.117,0.0,3834503378.35525,14.91
239,Ghana,Africa ,No,1988,0.0,,,,5197840972.6857,14.91
240,Guyana,Latin America,No,1988,0.0,,,,413799990.0,14.91
241,India,India,No,1988,634.88,1070.0,0.0,363.133151,292632656261.441,14.91
242,Indonesia,Other Asia,No,1988,1170.4209999999998,538.0,755.86092,89.3644932,89756617173.8387,14.91
243,IR Iran,Middle East ,Yes,1988,2478.524,,1696.0,0.0,,14.91
244,Iraq,Middle East ,Yes,1988,2744.454,328.26418003027703,2095.0,0.0,62503055644.9019,14.91
245,Kazakhstan,Other Eurasia,No,1988,456.705,372.83377049180336,,,,14.91
246,Kuwait,Middle East ,Yes,1988,1190.128,240.0011506849315,698.0,0.0,20692472759.8566,14.91
247,Libya,Africa ,Yes,1988,1022.72,136.0,890.0,0.0,,14.91
248,Malaysia,Other Asia,No,1988,495.93,212.0,415.42338,31.788639154160983,35271880250.4964,14.91
249,Mexico,OECD Americas,No,1988,2507.459,1598.0,1463.0964383561643,,183144268180.018,14.91
250,Nigeria,Africa ,Yes,1988,1341.349,186.91909589041092,1110.5,0.0,23272161396.8853,14.91
251,Norway,OECD Europe,No,1988,1152.673,,943.7436438356164,,101900260856.222,14.91
252,Oman,Middle East ,No,1988,619.01,,,,8386215864.75943,14.91
253,Qatar,Middle East ,No,1988,321.434,16.430905216874653,226.0,0.0,6038187032.96703,14.91
254,Russia,Russia,No,1988,11094.868,5000.701612021854,5347.904784,,,14.91
255,Saudi Arabia,Middle East ,Yes,1988,5100.147,982.7396301369864,3030.1,9.044712328767124,88256074766.3551,14.91
256,Sudans,Africa ,No,1988,0.0,,0.0,,,14.91
257,Syrian Arab Rep.,Middle East ,No,1988,250.508,,,,,14.91
258,Thailand,Other Asia,No,1988,19.192,295.0,,167.276712,61667199834.7428,14.91
259,United Arab Emirates,Middle East ,Yes,1988,1323.474,284.4926494757749,1321.5,0.0,36275674203.2144,14.91
260,United Kingdom,OECD Europe,No,1988,2273.802,1692.0,1412.7179452054795,686.3186301369863,910122732123.799,14.91
261,United States,OECD Americas,No,1988,8139.69,17521.0,155.0,5107.0,5252629000000.0,14.91
262,Venezuela,Latin America,Yes,1988,1578.137,408.33106849315067,972.7,7.781260273972603,,14.91
263,Vietnam,Other Asia,No,1988,0.0,53.0,13.62,,25423812648.5941,14.91
264,Yemen,Middle East ,No,1988,171.58499999999998,,,,,14.91
265,Belarus,,No,1988,,,,,,14.91
266,Belgium,,No,1988,,470.0,,472.9520821917809,163167853538.124,14.91
267,Bulgaria,,No,1988,,250.0,,263.076712,22555941176.4706,14.91
268,Croatia,,No,1988,,82.89360313113366,,,,14.91
269,France,,No,1988,,1801.0,,1331.042191780822,1023504019381.13,14.91
270,Germany,,No,1988,,2723.0,,1840.2990958904109,1395931548502.06,14.91
271,I.R.Iran,,No,1988,,897.2378082191781,,,,14.91
272,Italy,,No,1988,,1829.0,,1314.6262739726028,888667913418.625,14.91
273,Japan,,No,1988,,4849.0,,3281.931671232877,3050637784817.52,14.91
274,Netherlands,,No,1988,,723.0,,969.2054794520548,258567751142.825,14.91
275,New Zealand,,No,1988,,94.0,,,45176167471.8196,14.91
276,Pakistan,,No,1988,,190.0,,,38472741737.3968,14.91
277,Philippines,,No,1988,,193.0,,194.971836,37885440418.6834,14.91
278,Poland,,No,1988,,340.0,,,,14.91
279,Romania,,No,1988,,369.0,,430.91037,40809523809.5238,14.91
280,Serbia,,No,1988,,164.50729009371264,,,,14.91
281,Singapore,,No,1988,,369.0,,692.510959,25337226970.5603,14.91
282,South Africa,,No,1988,,340.0,,265.2514631484972,118331510445.149,14.91
283,South Korea,,No,1988,,746.0,,715.2938356164384,,14.91
284,Spain,,No,1988,,983.0,,964.9046301369864,375138723325.239,14.91
285,Syria,,No,1988,,176.0,,,,14.91
286,Tunisia,,No,1988,,60.0,,,10096292842.1543,14.91
287,Turkey,,No,1988,,436.0,,438.0606849315069,90852814004.9917,14.91
288,Turkmenistan,,No,1988,,,,,3010982414.24425,14.91
289,Ukraine,,No,1988,,1219.8148907103823,,,74703517902.6642,14.91
290,Trinidad & Tobago,,No,1988,,,74.33035,7.259835616438356,,14.91
291,Eqautorial Guinea,,No,1988,,,,0.0,,14.91
292,Greece,,No,1988,,,,283.33106849315067,76261278404.9964,14.91
293,Morocco,,No,1988,,,,105.150685,25705296183.5037,14.91
294,Sweden,,No,1988,,,,297.80857534246576,204068257817.6,14.91
295,Arab World,,No,1988,,,,,307503035642.516,14.91
296,Caribbean small states,,No,1988,,,,,16399795081.909,14.91
297,Early-demographic dividend,,No,1988,,,,,1545908814609.4,14.91
298,East Asia & Pacific,,No,1988,,,,,4336305608499.4,14.91
299,East Asia & Pacific (excluding high income),,No,1988,,,,,577812625861.037,14.91
300,East Asia & Pacific (IDA & IBRD countries),,No,1988,,,,,576640127791.092,14.91
301,Euro area,,No,1988,,,,,4567647574591.87,14.91
302,Europe & Central Asia,,No,1988,,,,,7068792325499.52,14.91
303,European Union,,No,1988,,,,,5985919929295.46,14.91
304,Heavily indebted poor countries (HIPC),,No,1988,,,,,130138553201.136,14.91
305,High income,,No,1988,,,,,16050083959668.3,14.91
306,IBRD only,,No,1988,,,,,2850097126288.85,14.91
307,IDA & IBRD total,,No,1988,,,,,3138724053348.55,14.91
308,IDA blend,,No,1988,,,,,114656536466.96,14.91
309,IDA only,,No,1988,,,,,178968363238.156,14.91
310,IDA total,,No,1988,,,,,292878032914.381,14.91
311,Late-demographic dividend,,No,1988,,,,,1682832142063.89,14.91
312,Latin America & Caribbean,,No,1988,,,,,919123365001.321,14.91
313,Latin America & Caribbean (excluding high income),,No,1988,,,,,845147525282.733,14.91
314,Latin America & the Caribbean (IDA & IBRD countries),,No,1988,,,,,856981230259.337,14.91
315,Least developed countries: UN classification,,No,1988,,,,,146663532194.935,14.91
316,Low & middle income,,No,1988,,,,,3077858862038.17,14.91
317,Low income,,No,1988,,,,,90950952690.8586,14.91
318,Lower middle income,,No,1988,,,,,845625037859.514,14.91
319,Middle East & North Africa,,No,1988,,,,,408590542564.906,14.91
320,Middle income,,No,1988,,,,,2992285219942.15,14.91
321,North America,,No,1988,,,,,5761398451214.26,14.91
322,OECD members,,No,1988,,,,,15862084044875.5,14.91
323,Other small states,,No,1988,,,,,43353826990.6721,14.91
324,Pacific island small states,,No,1988,,,,,2130603255.0409,14.91
325,Post-demographic dividend,,No,1988,,,,,15650090338734.4,14.91
326,Pre-demographic dividend,,No,1988,,,,,101491555405.13,14.91
327,Small states,,No,1988,,,,,61865042439.9101,14.91
328,South Asia,,No,1988,,,,,370046274628.889,14.91
329,South Asia (IDA & IBRD),,No,1988,,,,,370046274628.889,14.91
330,Sub-Saharan Africa,,No,1988,,,,,295523690332.111,14.91
331,Sub-Saharan Africa (excluding high income),,No,1988,,,,,295238997460.339,14.91
332,Sub-Saharan Africa (IDA & IBRD countries),,No,1988,,,,,295523690332.111,14.91
333,Upper middle income,,No,1988,,,,,2143321393959.61,14.91
334,World,,No,1988,,,,,19140813953244.6,14.91
335,Albania,,No,1988,,,,,2126000000.0,14.91
336,Andorra,,No,1988,,,,,721425939.15155,14.91
337,Antigua and Barbuda,,No,1988,,,,,398637740.740741,14.91
338,Austria,,No,1988,,,,,133339397080.129,14.91
339,"Bahamas, The",,No,1988,,,,,2817900000.0,14.91
340,Bangladesh,,No,1988,,,,,26579005760.315,14.91
341,Belize,,No,1988,,,,,314900000.0,14.91
342,Benin,,No,1988,,,,,1620246187.15171,14.91
343,Bermuda,,No,1988,,,,,1415100032.0,14.91
344,Bhutan,,No,1988,,,,,283855833.333333,14.91
345,Bolivia,,No,1988,,,,,4597615562.66594,14.91
346,Botswana,,No,1988,,,,,2644536804.11244,14.91
347,Brunei Darussalam,,No,1988,,,,,2690717551.18267,14.91
348,Burkina Faso,,No,1988,,,,,2616040645.87263,14.91
349,Burundi,,No,1988,,,,,1082403219.48787,14.91
350,Cabo Verde,,No,1988,,,,,264308140.285149,14.91
351,Central African Republic,,No,1988,,,,,1264899368.20165,14.91
352,Comoros,,No,1988,,,,,207476554.806734,14.91
353,"Congo, Dem. Rep.",,No,1988,,,,,8861299976.68858,14.91
354,"Congo, Rep.",,No,1988,,,,,2212536313.33492,14.91
355,Costa Rica,,No,1988,,,,,6063759370.62937,14.91
356,Cote d'Ivoire,,No,1988,,,,,10255170459.986,14.91
357,Cuba,,No,1988,,,,,27458999472.2955,14.91
358,Cyprus,,No,1988,,,,,4278792597.23965,14.91
359,Djibouti,,No,1988,,,,,395794538.630775,14.91
360,Dominica,,No,1988,,,,,143766666.666667,14.91
361,Dominican Republic,,No,1988,,,,,5374315190.18405,14.91
362,"Egypt, Arab Rep.",,No,1988,,,,,35044634014.7643,14.91
363,El Salvador,,No,1988,,,,,4189880000.0,14.91
364,Ethiopia,,No,1988,,,,,10908935748.7923,14.91
365,Fiji,,No,1988,,,,,1109976927.91722,14.91
366,Finland,,No,1988,,,,,109103056147.832,14.91
367,French Polynesia,,No,1988,,,,,2687472829.62988,14.91
368,"Gambia, The",,No,1988,,,,,266673126.229801,14.91
369,Greenland,,No,1988,,,,,898611007.947709,14.91
370,Grenada,,No,1988,,,,,236357518.518519,14.91
371,Guatemala,,No,1988,,,,,7841602824.42748,14.91
372,Guinea,,No,1988,,,,,2384295763.72549,14.91
373,Guinea-Bissau,,No,1988,,,,,164458120.314078,14.91
374,Honduras,,No,1988,,,,,3970386266.09442,14.91
375,"Hong Kong SAR, China",,No,1988,,,,,59707404560.5944,14.91
376,Iceland,,No,1988,,,,,6156487920.21202,14.91
377,"Iran, Islamic Rep.",,No,1988,,,,,123057861333.933,14.91
378,Ireland,,No,1988,,,,,37818133413.3173,14.91
379,Israel,,No,1988,,,,,50078767902.9333,14.91
380,Jamaica,,No,1988,,,,,3828310734.97795,14.91
381,Jordan,,No,1988,,,,,6277197435.2124,14.91
382,Kenya,,No,1988,,,,,8355380879.12955,14.91
383,Kiribati,,No,1988,,,,,42972107.1958747,14.91
384,"Korea, Rep.",,No,1988,,,,,196964195387.371,14.91
385,Lao PDR,,No,1988,,,,,598961269.297879,14.91
386,Lebanon,,No,1988,,,,,3313540067.93246,14.91
387,Lesotho,,No,1988,,,,,470389179.678909,14.91
388,Liberia,,No,1988,,,,,1038300000.0,14.91
389,Liechtenstein,,No,1988,,,,,1161757671.01756,14.91
390,Luxembourg,,No,1988,,,,,9750161053.209,14.91
391,"Macao SAR, China",,No,1988,,,,,2269233639.28065,14.91
392,Madagascar,,No,1988,,,,,2442507588.38468,14.91
393,Malawi,,No,1988,,,,,1379923808.24718,14.91
394,Maldives,,No,1988,,,,,168610478.359909,14.91
395,Mali,,No,1988,,,,,2169040741.55896,14.91
396,Malta,,No,1988,,,,,2019474244.19359,14.91
397,Marshall Islands,,No,1988,,,,,70688000.0,14.91
398,Mauritania,,No,1988,,,,,957377507.476686,14.91
